area,function,doc_source,expected_package,status,reason_missing,recommended_action,priority,notes
geometry,ST_DumpPoints,Apache Sedona broad docs only,"geos,geos-proj,full",outside_sedonadb_baseline,"This function is documented on the broader Apache Sedona site, but it is not part of the current SedonaDB SQL reference or the pinned deps/sedona-db engine surface used by this repo.","Do not treat it as an active SedonaDB parity gap. Revisit only if we explicitly choose to pursue broader Apache Sedona cross-product parity; if so, it is a reasonable local patch candidate.",low,"Outside the SedonaDB baseline. See plans/website-parity-scope-note.md."
geometry,ST_Expand,Apache Sedona broad docs only,"geos,geos-proj,full",supported,"Implemented as a local broad-doc extension in the SedonaDB patch series and verified in the geos package function-catalog suite.","Keep it documented as an intentional local extension beyond the SedonaDB baseline and preserve coverage in the geo-function Vitest catalog.",done,"Outside the SedonaDB baseline, but now shipped intentionally as a local extension."
geometry,Spatial indexing functions (Bing/H3/S2/GeoHash),Apache Sedona broad docs only,"geos,geos-proj,full",outside_sedonadb_baseline,"This entire category belongs to the broader Apache Sedona site, not the current SedonaDB SQL baseline used by this repo.","Do not treat it as an active SedonaDB parity gap. Revisit only if we explicitly choose to pursue broader Apache Sedona cross-product parity.",low,"Outside the SedonaDB baseline. See plans/website-parity-scope-note.md."
geometry,Clustering functions (DBSCAN/LOF),Apache Sedona broad docs only,"geos,geos-proj,full",outside_sedonadb_baseline,"This category belongs to the broader Apache Sedona site, not the current SedonaDB SQL baseline used by this repo.","Do not treat it as an active SedonaDB parity gap. Revisit only if we explicitly choose to pursue broader Apache Sedona cross-product parity.",low,"Outside the SedonaDB baseline. See plans/website-parity-scope-note.md."
geometry,Spatial statistics functions,Apache Sedona broad docs only,"geos,geos-proj,full",outside_sedonadb_baseline,"This category belongs to the broader Apache Sedona site, not the current SedonaDB SQL baseline used by this repo.","Do not treat it as an active SedonaDB parity gap. Revisit only if we explicitly choose to pursue broader Apache Sedona cross-product parity.",low,"Outside the SedonaDB baseline. See plans/website-parity-scope-note.md."
geometry,Address functions,Apache Sedona broad docs only,"geos,geos-proj,full",outside_sedonadb_baseline,"These libpostal-backed functions belong to the broader Apache Sedona site, not the current SedonaDB SQL baseline used by this repo.","Do not treat them as active SedonaDB parity gaps. Revisit only if we explicitly choose to pursue broader Apache Sedona cross-product parity.",low,"Outside the SedonaDB baseline. See plans/website-parity-scope-note.md."
geography,ST_GeogFromEWKB,Apache Sedona Geography Functions,"geos,geos-proj,full",supported,"Implemented via a SedonaDB patch as an item-level-CRS geography constructor from EWKB and verified in all package tiers.","Keep coverage in the geo-function Vitest catalog and geography package tests; preserve the SedonaDB patch in 0006-phase3-geography.patch.",done,"Phase 3 complete."
geography,ST_GeogFromEWKT,Apache Sedona Geography Functions,"geos,geos-proj,full",supported,"Implemented via a SedonaDB patch as an item-level-CRS geography constructor from EWKT and verified in all package tiers.","Keep coverage in the geo-function Vitest catalog and geography package tests; preserve the SedonaDB patch in 0006-phase3-geography.patch.",done,"Phase 3 complete."
geography,ST_GeogToGeometry,Apache Sedona Geography Functions,"geos,geos-proj,full",supported,"Implemented via a SedonaDB patch as a geometry/geography type reinterpretation that preserves storage shape and CRS metadata, then verified in all package tiers.","Keep coverage in the geo-function Vitest catalog and geography package tests; preserve the SedonaDB patch in 0006-phase3-geography.patch.",done,"Phase 3 complete."
geography,ST_GeomToGeography,Apache Sedona Geography Functions,"geos,geos-proj,full",supported,"Implemented via a SedonaDB patch as a geometry/geography type reinterpretation that preserves storage shape and CRS metadata, then verified in all package tiers.","Keep coverage in the geo-function Vitest catalog and geography package tests; preserve the SedonaDB patch in 0006-phase3-geography.patch.",done,"Phase 3 complete."
geography,ST_GeogFromGeoHash,Apache Sedona broad docs only,"geos,geos-proj,full",outside_sedonadb_baseline,"The broader Apache Sedona geography page documents geohash geography construction, but it is not part of the current SedonaDB SQL reference or the pinned deps/sedona-db engine surface used by this repo.","Do not treat it as an active SedonaDB parity gap. Revisit only if we explicitly choose to pursue broader Apache Sedona cross-product parity; if so, prefer upstream SedonaDB/Rust work first.",low,"Outside the SedonaDB baseline. See plans/website-parity-scope-note.md."
geography,ST_AsEWKT,Apache Sedona broad docs only,"geos,geos-proj,full",supported,"Implemented as a local broad-doc extension in the SedonaDB patch series and verified in all package tiers as an EWKT serializer for geometry and geography values with SRID-representable CRS metadata.","Keep it documented as an intentional local extension beyond the SedonaDB baseline and preserve coverage in the geography tests and geo-function Vitest catalog.",done,"Outside the SedonaDB baseline, but now shipped intentionally as a local extension."
optimizer,Range join / distance join / broadcast index join / raster join / pushdown,Apache Sedona Optimizer,"geos,geos-proj,full",partial_mvp,"The WASM build now wires the Sedona spatial join planner and supports verified relation joins, distance joins, and ST_KNN in a constrained browser execution profile. It still does not claim full native optimizer parity around spill, multi-partition out-of-core execution, broadcast index join orchestration, or raster-join-specific planning.","Keep the current planner-enabled browser MVP in place, document its limits clearly, and only reopen broader optimizer parity if we decide to port the native multi-partition/spill model to the browser runtime.",medium,"This is behavioral/planner parity, not just function registration. See plans/optimizer-parity-note.md."
crs,ST_Transform,Apache Sedona CRS Transformation,"geos-proj,full",supported,"Present in current runtime and tested in geos-proj/full.","Keep coverage in package-specific tests and document supported browser path clearly.",done,"Browser-safe support exists now."
raster,RS_Contains,SedonaDB Rust docs; Apache Sedona Raster Functions,full,supported,"Enabled in the full browser build by turning on sedona-raster-functions spatial predicates, patching sedona-tg for wasm, and normalizing raster CRS to PROJJSON at registration time.","Keep raster predicate coverage in the full-package Vitest suite and preserve the sedona-tg/projjson integration patches.",done,"Phase 1 complete."
raster,RS_Intersects,SedonaDB Rust docs; Apache Sedona Raster Functions,full,supported,"Enabled in the full browser build by turning on sedona-raster-functions spatial predicates, patching sedona-tg for wasm, and normalizing raster CRS to PROJJSON at registration time.","Keep raster predicate coverage in the full-package Vitest suite and preserve the sedona-tg/projjson integration patches.",done,"Phase 1 complete."
raster,RS_Within,SedonaDB Rust docs; Apache Sedona Raster Functions,full,supported,"Enabled in the full browser build by turning on sedona-raster-functions spatial predicates, patching sedona-tg for wasm, and normalizing raster CRS to PROJJSON at registration time.","Keep raster predicate coverage in the full-package Vitest suite and preserve the sedona-tg/projjson integration patches.",done,"Phase 1 complete."
raster,Current local SedonaDB/Rust RS_* catalog,SedonaDB Rust docs,full,supported,"The full browser package now exposes all 33 raster functions present in the current local SedonaDB/Rust docs set, and the Vitest suite verifies the runtime catalog against information_schema.routines.","Keep the catalog-driven full-package raster suite in place and update it whenever the local docs/runtime surface changes.",done,"Phase 4 complete."
raster,SQL-side raster loader functions (e.g. RS_FromGeoTiff, RS_FromNetCDF),Apache Sedona broad docs only,full,outside_sedonadb_baseline,"These SQL loader functions belong to the broader Apache Sedona raster docs, not the current SedonaDB SQL baseline used by this repo. The browser raster story here is host-driven through registerGeoTIFF/registerRaster.","Do not treat them as active SedonaDB parity gaps. Revisit only if we explicitly choose to pursue broader Apache Sedona cross-product parity and want SQL-side raster loader semantics in the browser.",low,"Outside the SedonaDB baseline. See plans/website-parity-scope-note.md."
raster,Non-GeoTIFF browser raster ingestion,Implementation goal rather than current docs,full,blocked_runtime,"Experiments with non-GeoTIFF GDAL drivers in current browser runtime stalled inside GDALOpenEx.","Treat as a separate GDAL/WASM debugging project before expanding advertised raster formats.",medium,"Not currently documented as supported."
raster,Raster operators / tiles / map algebra / output functions,Apache Sedona broad docs only,full,outside_sedonadb_baseline,"These broader raster categories belong to the Apache Sedona raster docs, not the current SedonaDB SQL baseline used by this repo.","Do not treat them as active SedonaDB parity gaps. Revisit only if we explicitly choose to pursue broader Apache Sedona cross-product parity.",low,"Outside the SedonaDB baseline. See plans/website-parity-scope-note.md."
api_surface,Alias/documentation drift (e.g. ST_AsWKB/ST_AsWKT/ST_GeomFromText aliases),Runtime vs local docs,"geos,geos-proj,full",documented,"Runtime-only aliases and patch-added names are now documented explicitly in the generated runtime surface report and summarized in the README.","Keep the report regenerated with make surface-report whenever package surfaces change and update README notes only after verified rebuilds.",done,"Phase 6 complete. See plans/runtime-surface-report.md."
api_surface,Package-specific runtime surface snapshots,Runtime vs local docs,"geos,geos-proj,full",generated_report,"A generated package-by-package snapshot now records the runtime ST_*/RS_* catalogs and intentional omissions for geos, geos-proj, and full.","Regenerate with make surface-report after surface changes and use the report as the canonical package-level catalog reference.",done,"Phase 6 complete. See plans/runtime-surface-report.md."
